FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
105604,5726,507,243,1959,951,123637,10248,407,226,2347,1249,44,227
0,321,203,13,10,320,106,2123,379,86,1026,243,17,227
48935,27359,1307,472,6418,1041,59095,42636,1494,519,6443,1334,44,228
0,0,201,13,763,759,0,2133,382,36,1461,867,17,228
6041,34910,1494,605,3744,1893,6739,49320,1309,595,5900,1945,48,228
4263,7931,381,160,1389,1705,5723,14039,386,149,3962,1713,32,229
74135,17581,2978,994,7795,0,82803,28218,3311,989,8243,579,64,229
4922,5115,620,252,2753,423,5281,8020,597,302,3632,1182,38,229
10909,5724,19637,8082,35135,0,11300,9549,18223,8196,32355,1075,68,230
1487,2885,291,110,961,298,3049,7166,436,178,1587,876,23,230
1962,1714,314,91,208,242,3563,5490,547,162,2850,542,21,231
2088,7074,213,84,473,500,5360,19452,389,96,1249,352,18,232
12,0,211,24,248,29,639,2226,354,38,1036,0,19,232
4049,2875,424,138,1750,167,6105,5823,461,120,2161,1061,31,233
220160,18703,6210,2101,13431,42,231580,25468,6289,1977,11993,1332,68,233
1290,2334,311,57,1141,0,2247,7084,370,92,2542,294,31,235
1018,2245,188,40,95,274,2463,8734,351,78,2307,290,17,235
999,2476,228,32,892,602,2384,10344,397,20,1624,550,19,235
4004,1248,463,130,1288,0,5040,3366,544,206,1960,1190,35,235
21741,3857,608,204,18,984,27738,8412,648,234,1136,1365,38,236
13707,1990,306,99,0,563,24499,6587,539,114,127,526,21,236
13235,23242,625,161,2664,922,17944,36038,565,141,3023,1097,38,236
119535,12338,656,289,1368,88,133993,19207,617,300,2716,853,43,237
660,1929,244,45,424,324,1981,8979,367,101,1475,343,21,237
1577,1863,412,171,962,677,2843,5802,406,276,1959,825,33,237
44015,7279,895,352,3199,1267,51542,11281,965,371,4487,1497,42,239
0,89,187,73,38,301,246,3013,353,108,838,91,17,239
4277,4552,389,145,1376,0,6759,8523,520,205,3348,103,27,239
150,9,203,11,123,96,686,2656,359,76,2837,408,18,239
202652,10061,639,278,2039,0,250734,19479,666,389,2914,300,37,239
0,307,221,13,0,404,0,2476,432,15,571,460,17,239
9573,12369,318,58,33,664,16257,24772,473,68,886,743,24,240
9626,1016,253,84,838,1317,16541,2771,369,193,2043,1285,23,240
0,0,200,33,0,353,157,480,377,9,0,599,17,240
12554,3487,784,304,1941,253,14140,7852,741,307,2713,1085,39,240
5319,4706,719,437,3335,1196,5558,7578,696,465,3309,1167,43,242
25653,9478,1280,423,7147,806,28215,16353,1369,419,9455,1452,45,242
517621,224743,221760,164617,3101158,14808,480054,296452,203485,148628,2790830,21593,123,243
0,0,228,100,1770,574,18,4018,392,162,3265,452,19,243
4379,4409,411,209,3486,854,6135,7526,488,196,5598,1841,29,243
321543,50321,19217,5674,29346,967,336348,66444,17482,5036,28042,1308,82,244
1725,1925,251,130,969,620,3313,5226,427,193,1840,1033,20,244
27467,10854,756,251,3159,850,39164,19282,912,257,4180,1059,35,244
97230,27234,3236,1228,8383,365,103677,35730,3437,1277,8375,853,63,244
0,212,206,0,639,1039,0,4233,367,121,2240,1485,18,244
5068,714,271,94,1330,705,9834,2866,462,211,4442,784,20,245
4069,1936,324,189,1589,804,6282,4043,497,295,4308,1147,23,245
8231,7081,941,412,3435,256,9934,10333,1042,350,3798,531,43,245
359,2568,256,89,576,475,1142,6149,433,131,1852,378,20,245
863,2948,3694,1321,7897,151,1405,6655,3629,1207,6188,789,59,245
154051,17529,2714,889,2013,1931,159533,24155,2515,783,2800,2463,56,245
17534,9976,632,217,718,155,21068,18570,672,216,1598,429,35,245
26626,11629,40786,14671,23659,0,27376,18262,38497,14279,20976,1694,89,245
11336,8883,732,289,2215,1168,12729,14446,742,360,3095,1726,43,246
12452,4316,252,78,981,757,23453,13354,436,88,2158,1364,20,246
3301,1792,324,127,834,0,7323,5634,472,133,2575,206,24,247
2616,2127,371,84,1762,410,3986,7474,452,147,3339,383,28,248
8060,5449,593,180,1822,536,10617,9371,628,218,2865,386,37,249
3670,2576,331,124,288,682,6280,6528,476,132,1914,987,24,249
14482,26734,600,86,3355,0,19795,40754,722,169,2932,196,40,250
346029,91387,12442,4455,25376,2913,370478,118592,11818,4246,21986,3192,83,250
58955,32501,1358,455,1338,1354,67113,48294,1324,412,1960,929,46,251
1010,1400,242,69,918,175,2446,7263,442,71,2995,1294,19,251
5335,6251,602,252,4207,0,7548,9627,628,302,3890,822,38,252
279674,122138,9043,3143,22941,1976,296620,160886,8300,3145,20101,2700,69,253
1504,499,381,153,101,714,2963,1249,593,217,1474,940,24,254
140,507,197,32,182,134,587,2292,377,57,589,615,17,254
139,0,187,25,102,246,516,1149,350,0,723,1194,17,254
14656,5482,1063,347,3649,286,17393,8026,866,370,4157,407,50,255
12376,3236,259,172,2210,451,20347,9032,384,254,3176,609,23,255
16,0,204,19,0,501,213,4321,373,7,336,499,17,255
393583,27491,138813,47685,149505,4234,412038,32467,128220,44002,133894,6330,110,256
30770,11926,1632,582,6067,2035,32417,16027,1601,583,6392,2117,54,257
37009,13273,932,346,4831,1023,40196,18212,1035,427,5421,1307,53,257
9934,815,410,38,1198,881,12807,3285,439,85,2614,1159,33,257
6705,6407,640,229,2386,34,8383,13821,571,184,2304,730,39,258
11873,15934,493,158,1247,444,18096,30240,542,253,2226,688,32,259
886,2594,229,104,2385,0,2163,8487,428,208,5040,0,18,259
26644,2644,31056,11592,32707,0,28032,3984,30305,11420,27913,1343,83,259
5054,716,205,89,365,0,10776,4043,371,96,967,566,18,259
4810,4883,453,243,3123,360,6507,11212,535,329,3501,126,30,261
9210,8011,933,226,3371,212,11027,12492,1075,282,3988,479,38,261
80788,46937,2237,828,7724,1498,85651,67383,2214,748,7520,1565,57,262
120184,19281,4333,1444,11028,2107,133387,28421,4373,1353,10187,1557,64,262
26620,5853,702,224,1509,1078,34566,12235,775,248,4286,1547,35,262
0,0,193,15,0,414,27,1012,361,34,0,835,17,263
3274,3591,320,107,2212,743,5239,10263,490,136,5627,700,24,263
37997,22613,11014,6637,105328,5180,39691,32731,10879,6303,101943,8272,74,263
11233,6226,917,191,3381,2249,13517,10975,979,221,3401,2437,48,263
21037,1089,738,295,759,0,25615,6386,653,297,2002,361,39,263
16785,11704,1523,519,1682,856,20011,19099,1607,570,2729,911,45,264
18509,10407,833,409,3878,991,21459,16029,839,404,4331,1446,40,265
2091,801,220,112,905,0,4406,4882,399,169,1916,150,18,266
23235,3708,563,254,2185,236,29469,8963,718,308,3276,639,31,266
3191,3146,545,154,2040,793,4318,5954,542,135,2355,1791,41,266
704,1507,197,73,701,0,2017,4414,376,104,1699,201,17,267
10726,7319,683,272,1954,418,13102,12913,835,275,3051,672,36,267
6010,6981,633,178,1171,0,8167,12515,629,307,2307,503,38,267
14107,4108,375,99,187,579,19665,10428,402,146,1658,450,31,268
18349,5749,613,361,6364,971,22895,11564,708,426,7205,1204,36,268
0,305,218,57,0,264,0,3061,379,109,1200,684,19,269
27586,11013,439,121,529,66,34614,20526,510,100,2353,486,33,269
831,1892,216,84,1346,450,2715,6220,391,139,2970,1221,18,270
6,0,193,68,625,924,105,1318,359,87,1271,1286,17,272
2595,2916,324,121,1556,0,4427,6911,438,155,2180,0,26,272
4020,2121,294,164,1372,0,7373,7912,519,272,3387,0,20,272
0,0,190,86,167,402,40,3530,355,143,824,322,17,273
3155,1718,275,144,775,1138,5599,6449,449,249,1529,1643,21,273
5124,6373,282,59,0,225,9251,15025,420,122,0,792,23,273
721,2399,191,92,0,740,1785,8003,352,200,861,817,17,273
1786,1573,268,128,1033,442,3918,6753,439,194,2998,316,21,274
15876,2737,574,234,2519,269,20854,6584,609,220,3943,1431,36,276
171,148,212,10,1116,330,543,1127,404,40,2369,710,17,276
195189,28191,6163,2206,20857,0,210707,39653,6088,2214,18564,655,66,276
8133,8657,863,285,3114,801,9895,14933,872,323,3065,1207,41,277
6839,11211,510,95,2886,0,8863,20123,351,94,3314,943,50,278
89031,16796,4646,1732,13956,1292,89693,22333,4333,1616,15217,2470,67,278
22776,4566,822,506,4244,1250,24945,7967,821,559,3762,1221,46,279
294794,112521,125166,67944,732296,8007,313288,147910,119546,63739,674594,10094,106,280
8574,7583,5986,5395,97680,1134,8141,9398,6633,5130,92230,3830,65,280
60693,15798,3341,1215,11645,1691,66018,23213,3015,1234,10159,1792,66,283
3558,2337,416,204,2407,196,6140,7545,643,334,3725,392,25,283
11323,7253,849,225,1121,579,14669,12475,841,324,2452,1318,42,283
127928,10000,1011,307,2064,162,134801,15787,911,327,4244,166,51,284
287,337,194,30,0,1080,732,1524,353,44,1829,1194,17,285
184,831,228,37,0,310,723,3484,358,24,307,530,20,285
23282,9767,1480,542,4741,194,24545,15826,1487,635,3411,642,53,285
6413,8238,283,98,230,0,11294,18062,395,208,1582,0,24,285
24486,7359,5773,1892,26606,1534,28918,12369,5006,1916,22637,1530,73,286
2732,3234,585,273,1655,384,3070,6689,569,263,4292,410,39,286
110441,7992,7633,2422,4787,0,109952,11410,7230,2351,5480,576,75,286
63913,11267,1852,664,5565,1704,64794,18452,1779,723,5071,1412,58,287
1997,6343,318,167,2823,0,2776,13138,376,178,4611,0,28,288
2635,756,225,59,436,377,6993,4131,421,106,1059,546,18,288
20772,10681,766,280,2520,642,27029,18709,664,235,2732,1197,43,288
7584,4815,971,237,1310,1461,8702,9159,832,284,2901,1285,59,289
3866,3931,429,217,2563,0,4993,7408,471,290,3555,734,37,289
54225,7863,8762,2566,3421,146,55588,11231,8467,2407,2666,660,74,289
17562,4014,13239,5969,33952,2747,17429,6786,11676,5846,32165,2213,77,290
17733,7218,1042,429,4254,1081,19595,12232,955,475,3518,1384,52,291
28946,11898,28290,8486,12556,2163,32602,20510,27607,8773,13713,1733,92,291
94590,9882,1081,448,901,1271,104499,13663,1170,488,2041,1220,48,291
396,1705,210,31,1160,848,1018,6173,376,59,2385,1253,18,292
13517,7009,364,216,2709,547,21240,14289,444,274,2943,1117,28,292
0,494,208,37,0,327,627,4594,395,23,985,574,17,292
1080,1592,247,77,230,0,2548,7299,392,105,834,294,21,293
336,2258,212,94,1290,1044,1019,6334,389,140,2828,1373,18,293
53810,16318,3333,1062,10545,875,56282,22398,3250,1121,10310,1133,66,293
445338,69504,42006,10977,61184,2800,455273,85670,38266,10212,56330,3712,113,293
8929,7401,840,342,2385,999,9573,11508,728,398,3130,1301,49,294
37005,32220,380,116,1927,0,43709,54030,404,152,2602,387,36,295
173105,58634,113427,61262,462312,7335,184686,82580,109359,58096,431995,5522,105,296
11167,5539,453,202,171,636,16518,10268,633,250,1041,798,29,296
11547,6000,881,294,3874,1246,14442,9594,857,403,3801,989,41,297
6990,7257,605,213,1342,1371,8497,11483,724,199,1785,990,40,298
462,1495,195,85,1270,588,1471,6109,372,125,3160,695,17,299
14884,38977,566,239,379,903,22004,64078,626,232,1946,1290,42,299
8963,4109,660,99,1377,941,11677,7568,724,73,2225,1998,50,299
9628,7051,2332,965,17005,386,9330,11496,2406,865,13840,1892,58,300
64468,53063,1627,501,7667,1049,76414,76485,1648,553,6160,1201,56,300
5781,1292,2721,998,5852,275,6443,3355,2797,951,6329,1403,50,301
528101,79202,109470,36389,106784,3720,543819,99399,102730,33809,101080,4347,108,301
920,2333,272,93,392,683,2136,7490,432,112,1784,1357,21,301
112,436,211,3,0,155,352,3598,408,23,0,179,17,301
8486,17053,312,85,649,955,15656,33798,437,147,3343,816,24,301
35,202,219,34,434,567,460,1537,432,52,1911,1383,17,301
5351,6125,386,161,2322,895,7493,13197,458,151,2634,1033,30,302
56203,72581,1124,387,6161,716,65679,102654,1130,383,8113,1171,51,303
1397,6468,5294,2150,3459,171,1565,11531,4852,2023,3553,826,66,303
7526,5543,227,119,391,1251,15533,16639,357,147,1507,1710,20,304
13322,5212,505,131,1305,0,15617,8569,412,211,2204,0,39,306
0,0,245,57,1071,1155,0,1591,438,87,2758,1223,19,307
77,724,476,118,2627,0,378,4291,565,158,3370,0,31,308
4956,5009,561,114,2312,367,6402,8174,543,176,2482,513,39,309
258284,34072,328,429,9939,44,379891,67478,400,486,12330,1281,27,309
15630,5805,25139,10043,58344,652,16753,11348,22773,9501,51682,2421,85,310
9859,7102,663,227,1869,203,11996,14095,624,260,2583,980,36,310
9991,17139,331,59,1071,0,12129,34031,362,161,1188,222,30,310
6636,6725,524,228,1462,785,9438,10769,586,249,2301,823,38,311
12794,274,13051,4791,38816,1649,15404,3900,12041,4692,36055,2162,78,311
168,56,202,58,0,481,749,4203,380,149,315,371,17,312
8830,1651,317,183,1009,209,14330,5195,406,231,3386,570,27,313
23679,9704,1110,471,4594,512,29352,14602,984,403,3765,1093,47,313
67396,16200,1295,588,5047,950,81265,23960,1305,660,6061,1653,47,313
28464,13009,1446,553,4173,521,30134,19319,1174,663,4535,1471,51,313
12,26,202,9,902,739,348,4139,377,11,2093,996,17,313
35571,14608,739,277,2914,315,44535,19983,705,369,2221,1105,48,315
172290,21275,1840,562,2725,1744,180755,28849,1582,658,5079,2806,64,317
3825,2816,597,297,4383,343,5267,10060,574,357,5773,878,37,317
29131,10215,1008,297,2642,665,38193,15968,1151,347,3487,1114,38,317
12261,6863,1020,363,4428,1098,14694,13446,897,436,4046,1205,45,319
16779,27723,531,172,3558,10,21514,47451,642,164,5033,401,40,319
12042,4964,333,75,1323,772,18490,11307,475,151,3181,1356,25,319
17824,13622,673,285,9891,1324,25313,22270,846,383,13999,1018,34,319
592824,175517,184183,55934,183006,2714,612966,227320,173721,52583,171923,3475,114,320
0,200,197,0,0,1118,129,823,351,0,1188,1890,18,320
2067,718,679,165,2443,0,2561,3915,750,282,3284,343,35,321
56172,11796,1601,544,3692,191,66318,17662,1516,556,4900,1575,52,321
